timestamp,source_file,variant_name,variant_type,variant_dir,variant_input_dir,variant_plan_dir,variant_output_csv,input_json,reference_file,context_file,plan_file,island_name,method,uses_retrieval_context,uses_agent2_plan,context_artifact_role,agent2_plan_artifact_role,writing_status,fluency_score,structure_score,organization_score,writing_score,writing_rationale,writing_error,informativeness_status,rouge_l,meteor,informativeness_error,concept_status,concept_coverage_score,concept_accuracy_score,concept_relevance_score,concept_organization_score,concept_score,missing_key_concepts,inaccurate_or_unsupported_concepts,concept_rationale,concept_error,verifiability_status,citation_recall,citation_precision,citation_link_precision,citation_rate,num_sentences,num_cited_sentences,num_citation_links,num_supported_citation_links,verifiability_error,cscs_status,cscs,cscs_edges,cscs_checked_edges,cscs_checked_facts,cscs_error,diagnostics_error,generated_section_count,generated_empty_section_count,generated_error_section_count,generated_sentence_count,citation_marker_count,valid_citation_marker_count,invalid_citation_marker_count,sections_with_invalid_citations,citation_index_validity,context_status,context_section_count,context_total_chunks,context_empty_chunk_section_count,context_empty_chunk_sections,context_chunk_coverage,context_avg_chunks_per_section,plan_status,plan_node_count,plan_edge_count,plan_graph_density,plan_avg_dependencies,plan_max_dependencies,plan_source_node_count,plan_source_nodes,plan_missing_summary_count,plan_missing_summaries,plan_order_violation_count,plan_output_alignment_status,planned_section_coverage,matched_planned_sections,missing_planned_sections,extra_generated_sections
2026-05-12T22:40:24,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Brecqhou_20260512_204317.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Brecqhou_plan.json,Brecqhou,method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,3.0,3.0,3.33,"The prose is mostly clear and readable, but the article lacks a proper lead, has an uneven and misused notes section, and includes some repetition and loosely connected material.",,success,18.4669,31.5016,,success,4.0,3.0,4.0,4.0,3.75,,,,,success,0.625,0.625,0.2632,1.0,8,8,57,15,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,7,0,0,8,57,51,6,4,0.8947,success,7,46,0,,1.0,6.5714,success,7,3,0.1429,0.4286,2,5,Name; Geography; Flag and stamps; Public visits; Notes and references,0,,0,success,1.0,Name; Geography; Feudal relationship with Sark; Fort Brecqhou; Flag and stamps; Public visits; Notes and references,,
2026-05-12T22:43:19,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Hashima_Island_20260512_204506.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hashima.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hashima_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hashima Island_plan.json,Hashima Island,method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,4.0,4.0,4.0,"The prose is clear and mostly polished with appropriate sections, though the lack of a lead and some repetition across history, current status, and controversy sections slightly weaken the overall organization.",,success,14.5689,20.2332,,success,4.0,4.0,4.0,4.0,4.0,,,,,success,0.5,0.5,0.1667,1.0,6,6,66,11,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,6,0,0,6,66,57,9,4,0.8636,success,6,49,0,,1.0,8.1667,success,6,10,0.6667,1.6667,4,2,Etymology; Access,0,,0,success,1.0,Etymology; History; Current status; Access; World Heritage Site approval controversy; In popular culture,,
2026-05-12T22:45:16,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Howland_Island_20260512_204647.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Howland.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Howland_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Howland Island_plan.json,Howland Island,method2,true,false,used_by_generation,available_for_alignment_only,success,3.0,3.0,3.0,3.0,"The prose is mostly readable, but the opening refusal text, lack of a lead, uneven section choices, odd ordering, and some repetitive gallery-style descriptions weaken the article’s Wikipedia-style quality.",,success,15.5197,17.693,,success,3.0,4.0,4.0,3.0,3.5,,,,,success,0.4211,0.4706,0.1719,0.8947,19,17,64,11,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,7,0,0,19,64,61,3,2,0.9531,success,7,29,1,Flora and fauna,0.8571,4.1429,success,7,6,0.2857,0.8571,3,4,Flora and fauna; Economics; History; Image gallery,3,Flora and fauna; History; Earhart Light,0,success,1.0,Flora and fauna; Economics; Time zone; History; National Wildlife Refuge; Earhart Light; Image gallery,,
2026-05-12T22:47:35,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Hunga_Tonga–Hunga_Ha_apai_20260512_204815.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hunga_Tonga_Hunga_Ha_apai.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hunga_Tonga–Hunga_Ha_apai_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hunga Tonga–Hunga Haʻapai_plan.json,Hunga Tonga–Hunga Haʻapai,method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,3.0,3.0,3.33,"The prose is generally clear and readable, but the article lacks a lead, has an inappropriate Footnotes section, and repeats substantial geographic and volcanic background across sections.",,success,15.2891,16.4502,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.4,0.5,0.1111,0.8,5,4,45,5,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,4,0,0,5,45,31,14,2,0.6889,success,4,27,0,,1.0,6.75,success,4,3,0.5,0.75,2,2,Volcano and caldera; Footnotes,0,,0,success,1.0,Volcano and caldera; Geography; Eruptions; Footnotes,,
2026-05-12T22:49:12,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jarvis_Island_20260512_205010.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jarvis.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jarvis_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Jarvis Island_plan.json,Jarvis Island,method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly natural, but the article lacks a lead, has some uneven section choices, and includes dense or repetitive details that weaken flow.",,success,20.4461,27.1355,,success,4.0,3.0,4.0,3.0,3.5,,,,,success,0.2143,0.2308,0.1404,0.9286,14,13,57,8,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,5,0,0,14,57,51,6,2,0.8947,success,5,42,0,,1.0,8.4,success,5,6,0.6,1.2,3,2,Geography and ecology; Transportation,0,,0,success,1.0,Geography and ecology; History; National Wildlife Refuge; Transportation; Military,,
2026-05-12T22:52:50,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jethou_20260512_205125.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jethou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jethou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Jethou_plan.json,Jethou,method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural, with appropriate but somewhat incomplete sectioning and a generally logical flow despite some repetition around conservation status.",,success,17.866,29.419,,success,3.0,3.0,4.0,3.0,3.25,,,,,success,0.75,0.75,0.2143,1.0,4,4,28,6,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,4,0,0,4,28,26,2,1,0.9286,success,4,20,0,,1.0,5.0,success,4,6,1.0,1.5,3,1,History,0,,0,success,1.0,History; Governance; Wildlife; Jethou in popular culture,,
2026-05-12T22:53:59,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Kavachi_20260512_205235.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Kavachi.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Kavachi_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Kavachi_plan.json,Kavachi,method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly polished, with logical section flow, but the article lacks a lead section and has a somewhat basic structure for a Wikipedia-style entry.",,success,18.7023,37.5842,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.5,0.5,0.15,1.0,4,4,40,6,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,3,0,0,4,40,32,8,2,0.8,success,3,24,0,,1.0,8.0,success,3,3,1.0,1.0,2,1,Geography,0,,0,success,1.0,Geography; Eruptions; Marine life,,
2026-05-12T22:55:22,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Nishinoshima_(Ogasawara)_20260512_205337.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Nishinoshima_(Ogasawara).txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Nishinoshima_(Ogasawara)_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Nishinoshima (Ogasawara)_plan.json,Nishinoshima (Ogasawara),method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,3.0,4.0,3.67,"The prose is clear and mostly natural, but the article lacks a lead and has an uneven structure with dense geology content and a more list-like ecology section.",,success,11.9858,10.9807,,success,3.0,4.0,4.0,4.0,3.75,,,,,success,0.3333,0.3333,0.0303,1.0,3,3,33,1,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,3,0,0,3,33,28,5,2,0.8485,success,3,18,0,,1.0,6.0,success,3,1,0.3333,0.3333,1,2,Etymology; Geology,0,,0,success,1.0,Etymology; Geology; Ecology,,
2026-05-12T22:56:54,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Surtsey_20260512_205510.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Surtsey.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Surtsey_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Surtsey_plan.json,Surtsey,method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly natural, but the article lacks a lead, has an uneven section outline, and repeats research-laboratory themes across sections.",,success,12.2156,14.4728,,success,3.0,4.0,5.0,4.0,4.0,,,,,success,0.5,0.5,0.2692,1.0,4,4,52,14,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,4,0,0,4,52,50,2,1,0.9615,success,4,22,0,,1.0,5.5,success,4,6,1.0,1.5,3,1,Geology,1,Biology,0,success,1.0,Geology; Human impact; Recent development; Biology,,
2026-05-12T22:59:11,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Tromelin_Island_20260512_205633.json,method2,variant,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans,00_evaluation/evaluations/after_fix_default_output_v2\method2\full_evaluation_method2_20260512_224022.csv,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Tromelin.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Tromelin_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Tromelin Island_plan.json,Tromelin Island,method2,true,false,used_by_generation,available_for_alignment_only,success,4.0,3.0,3.0,3.33,"The prose is clear and mostly natural, but the article lacks a lead section, has an uneven section order, and repeats ecological recovery details across sections.",,success,18.9773,17.4652,,success,4.0,4.0,5.0,4.0,4.25,,,,,success,0.4,0.4,0.26,1.0,5,5,50,13,,not_applicable,,,,,CSCS is only applicable to method3 because only method3 uses the Agent 2 dependency graph during generation.,,5,0,0,5,50,48,2,2,0.96,success,5,33,0,,1.0,6.6,success,5,6,0.6,1.2,3,2,Etymology; Description,0,,0,success,1.0,Etymology; Description; Fauna and flora; History; Climate,,
