analysis_timestamp,threshold_setting,output_id,comparison_label,variant_name,variant_type,eval_file,eval_folder,source_file,input_json,reference_file,context_file,plan_file,island_name,method,error_family,error_class,error_subclass,severity,metric_name,metric_value,threshold_type,threshold_value,evidence,suggested_fix
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Brecqhou_20260512_204317.json | Brecqhou | method2 | 0,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Brecqhou_20260512_204317.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Brecqhou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Brecqhou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Brecqhou_plan.json,Brecqhou,method2,Content quality,Content substitution,Low concept accuracy,medium,concept_accuracy_score,3,rubric,< 3.5,concept_accuracy_score = 3,Reduce unsupported or incorrect claims and improve grounding.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Howland_Island_20260512_204647.json | Howland Island | method2 | 2,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Howland_Island_20260512_204647.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Howland.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Howland_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Howland Island_plan.json,Howland Island,method2,Citation and verifiability,Citation coverage failure,Low citation rate,medium,citation_rate,0.8947,distribution_or_metric_specific_floor,high_percentile <= 0.87416; medium_percentile <= 0.920125; absolute_high_floor < 0.5; absolute_medium_floor < 0.8,citation_rate = 0.8947,Increase citation density for factual sentences.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Hunga_Tonga–Hunga_Ha_apai_20260512_204815.json | Hunga Tonga–Hunga Haʻapai | method2 | 3,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Hunga_Tonga–Hunga_Ha_apai_20260512_204815.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hunga_Tonga_Hunga_Ha_apai.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hunga_Tonga–Hunga_Ha_apai_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hunga Tonga–Hunga Haʻapai_plan.json,Hunga Tonga–Hunga Haʻapai,method2,Content quality,Content substitution,Low concept accuracy,medium,concept_accuracy_score,3,rubric,< 3.5,concept_accuracy_score = 3,Reduce unsupported or incorrect claims and improve grounding.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Hunga_Tonga–Hunga_Ha_apai_20260512_204815.json | Hunga Tonga–Hunga Haʻapai | method2 | 3,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Hunga_Tonga–Hunga_Ha_apai_20260512_204815.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hunga_Tonga_Hunga_Ha_apai.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hunga_Tonga–Hunga_Ha_apai_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hunga Tonga–Hunga Haʻapai_plan.json,Hunga Tonga–Hunga Haʻapai,method2,Content quality,Content omission,Low METEOR,medium,meteor,16.4502,distribution,high_percentile <= 13.405; medium_percentile <= 16.9913,meteor = 16.4502,Improve coverage of reference-relevant concepts and paraphrases.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Hunga_Tonga–Hunga_Ha_apai_20260512_204815.json | Hunga Tonga–Hunga Haʻapai | method2 | 3,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Hunga_Tonga–Hunga_Ha_apai_20260512_204815.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Hunga_Tonga_Hunga_Ha_apai.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Hunga_Tonga–Hunga_Ha_apai_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Hunga Tonga–Hunga Haʻapai_plan.json,Hunga Tonga–Hunga Haʻapai,method2,Citation and verifiability,Citation coverage failure,Low citation rate,high,citation_rate,0.8,distribution_or_metric_specific_floor,high_percentile <= 0.87416; medium_percentile <= 0.920125; absolute_high_floor < 0.5; absolute_medium_floor < 0.8,citation_rate = 0.8,Increase citation density for factual sentences.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jarvis_Island_20260512_205010.json | Jarvis Island | method2 | 4,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jarvis_Island_20260512_205010.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jarvis.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jarvis_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Jarvis Island_plan.json,Jarvis Island,method2,Content quality,Content substitution,Low concept accuracy,medium,concept_accuracy_score,3,rubric,< 3.5,concept_accuracy_score = 3,Reduce unsupported or incorrect claims and improve grounding.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jarvis_Island_20260512_205010.json | Jarvis Island | method2 | 4,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jarvis_Island_20260512_205010.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jarvis.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jarvis_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Jarvis Island_plan.json,Jarvis Island,method2,Citation and verifiability,Citation coverage failure,Low citation recall,medium,citation_recall,0.2143,distribution_or_metric_specific_floor,high_percentile <= 0.21052; medium_percentile <= 0.312475; absolute_high_floor < 0.1; absolute_medium_floor < 0.2,citation_recall = 0.2143,Increase support coverage for factual claims.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jarvis_Island_20260512_205010.json | Jarvis Island | method2 | 4,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jarvis_Island_20260512_205010.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jarvis.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jarvis_Island_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Jarvis Island_plan.json,Jarvis Island,method2,Citation and verifiability,Citation support failure,Low citation precision,medium,citation_precision,0.2308,distribution_or_metric_specific_floor,high_percentile <= 0.22772; medium_percentile <= 0.31665; absolute_high_floor < 0.1; absolute_medium_floor < 0.25,citation_precision = 0.2308,Ensure cited sentences are actually supported by their cited evidence.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jethou_20260512_205125.json | Jethou | method2 | 5,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Jethou_20260512_205125.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Jethou.txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Jethou_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Jethou_plan.json,Jethou,method2,Content quality,Content substitution,Low concept accuracy,medium,concept_accuracy_score,3,rubric,< 3.5,concept_accuracy_score = 3,Reduce unsupported or incorrect claims and improve grounding.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Nishinoshima_(Ogasawara)_20260512_205337.json | Nishinoshima (Ogasawara) | method2 | 7,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Nishinoshima_(Ogasawara)_20260512_205337.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Nishinoshima_(Ogasawara).txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Nishinoshima_(Ogasawara)_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Nishinoshima (Ogasawara)_plan.json,Nishinoshima (Ogasawara),method2,Content quality,Content omission,Low ROUGE-L,medium,rouge_l,11.9858,distribution,high_percentile <= 11.9848; medium_percentile <= 14.4723,rouge_l = 11.9858,Improve lexical and structural overlap with important reference content.
2026-05-13T16:05:15,main,method2 | method2 |  | D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Nishinoshima_(Ogasawara)_20260512_205337.json | Nishinoshima (Ogasawara) | method2 | 7,method2,method2,variant,full_evaluation_method2_20260512_224022.csv,method2,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\after_fix\default output v2\method2\result_method2_Nishinoshima_(Ogasawara)_20260512_205337.json,,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\references\Nishinoshima_(Ogasawara).txt,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\00_evaluation\result\data\Nishinoshima_(Ogasawara)_rag_context.json,D:\Users\cheng\Documents\GitHub\LLM_MA_Agent_Project\logs\agent2_plans\Nishinoshima (Ogasawara)_plan.json,Nishinoshima (Ogasawara),method2,Content quality,Content omission,Low METEOR,high,meteor,10.9807,distribution,high_percentile <= 13.405; medium_percentile <= 16.9913,meteor = 10.9807,Improve coverage of reference-relevant concepts and paraphrases.
